# URL Redirect Map: AtomicWiki → Blog
# old-url	new-url

# === Articles ===
/exist/apps/wiki/blogs/eXist/Announcement142	/exist/apps/blog/2012/Announcement142
/exist/apps/wiki/blogs/eXist/HoF	/exist/apps/blog/2012/hof
/exist/apps/wiki/blogs/eXist/XQueryMap	/exist/apps/blog/2012/xquerymap
/exist/apps/wiki/blogs/lts/LTSAnnounce	/exist/apps/blog/2013/ltsannounce
/exist/apps/wiki/blogs/eXist/NewRangeIndex	/exist/apps/blog/2013/newrangeindex
/exist/apps/wiki/blogs/eXist/Release210	/exist/apps/blog/2013/Release210
/exist/apps/wiki/blogs/eXist/BasicAuthApps	/exist/apps/blog/2014/basicauthapps
/exist/apps/wiki/blogs/./BlogsMain	/exist/apps/blog/2014/blogsmain
/exist/apps/wiki/blogs/eXist/eXide209	/exist/apps/blog/2014/exide209
/exist/apps/wiki/blogs/eXist/eXist22	/exist/apps/blog/2014/exist22
/exist/apps/wiki/blogs/eXist/eXist22RC1	/exist/apps/blog/2014/exist22rc1
/exist/apps/wiki/blogs/eXist/eXist22RC2	/exist/apps/blog/2014/exist22rc2
/exist/apps/wiki/blogs/eXist/existbook	/exist/apps/blog/2014/existbook
/exist/apps/wiki/blogs/eXist/HTMLTemplatingVideo	/exist/apps/blog/2014/htmltemplatingvideo
/exist/apps/wiki/blogs/lts/LTS212New	/exist/apps/blog/2014/lts212new
/exist/apps/wiki/blogs/lts/LTS213New	/exist/apps/blog/2014/lts213new
/exist/apps/wiki/blogs/lts/LTS214New	/exist/apps/blog/2014/lts214new
/exist/apps/wiki/blogs/lts/LTS215New	/exist/apps/blog/2014/lts215new
/exist/apps/wiki/blogs/lts/LTS216New	/exist/apps/blog/2014/lts216new
/exist/apps/wiki/blogs/eXist/XMLPrague2014	/exist/apps/blog/2014/XMLPrague2014
/exist/apps/wiki/blogs/eXist/eXist30RC1	/exist/apps/blog/2015/exist30rc1
/exist/apps/wiki/blogs/eXist/formvalidation	/exist/apps/blog/2015/formvalidation
